Country,Continent,Capital City,Abbreviation,Fact 1,Fact 1 Source,Fact 2,Fact 2 Source,Fact 3,Fact 3 Source,Fact 4,Fact 4 Source,Fact 5,Fact 5 Source,Fact 6,Fact 6 Source,Fact 7,Fact 7 Source,Fact 8,Fact 8 Source,Fact 9,Fact 9 Source,Fact 10,Fact 10 Source
Congo,Africa,Brazzaville,COG,The country is home to the world's largest population of lowland gorillas.,https://en.wikipedia.org/wiki/Republic_of_the_Congo#Wildlife,"The Congo River, which flows through the country, is the second-longest river in Africa and the deepest river in the world.",https://en.wikipedia.org/wiki/Republic_of_the_Congo#Geography,"The country has a national dish called 'Moambe', which is made from chicken, fish, or beef cooked in palm butter.",https://en.wikipedia.org/wiki/Republic_of_the_Congo#Cuisine,The country is one of the few places where the rare and elusive bongo antelope can be found.,https://en.wikipedia.org/wiki/Republic_of_the_Congo#Wildlife,"The country has a unique tradition of 'Sapeurs', who are known for their extravagant fashion and style.",https://en.wikipedia.org/wiki/Republic_of_the_Congo#Culture,,,,,,,,,,
Costa Rica,N. America,San José,CRI,This country abolished its army in 1948 and is one of the few nations without a standing military.,https://en.wikipedia.org/wiki/Military_of_Costa_Rica,"It is home to more than 500,000 species, representing nearly 4% of the total species estimated worldwide.",https://en.wikipedia.org/wiki/Wildlife_of_Costa_Rica,"The country has a 99% literacy rate, one of the highest in the world.",https://en.wikipedia.org/wiki/Education_in_Costa_Rica,"It is known for its 'Blue Zone' in the Nicoya Peninsula, where people often live longer than average.",https://en.wikipedia.org/wiki/Blue_Zone,The country has a national park that protects 25% of its land area.,https://en.wikipedia.org/wiki/National_parks_of_Costa_Rica,"It is one of the leading countries in the world for renewable energy, with over 99% of its electricity generated from renewable sources.",https://en.wikipedia.org/wiki/Renewable_energy_in_Costa_Rica,"The country is famous for its 'pura vida' lifestyle, which translates to 'pure life' and reflects a relaxed attitude.",https://en.wikipedia.org/wiki/Pura_vida,It has a unique tradition of 'oxherding' which is recognized by UNESCO as an Intangible Cultural Heritage.,https://en.wikipedia.org/wiki/Traditional_oxherding_and_oxcart_traditions_in_Costa_Rica,"The country is home to the Monteverde Cloud Forest Reserve, a major ecotourism destination.",https://en.wikipedia.org/wiki/Monteverde_Cloud_Forest_Reserve,"It has a butterfly species named after it, the 'Costa Rican Morpho', known for its vibrant blue wings.",https://en.wikipedia.org/wiki/Morpho_costa_rica
Côte d'Ivoire,Africa,Yamoussoukro,CIV,"The country is home to the world's largest church, the Basilica of Our Lady of Peace, which is larger than St. Peter's Basilica in Vatican City.",https://en.wikipedia.org/wiki/Basilica_of_Our_Lady_of_Peace,"The country is one of the world's largest producers and exporters of cocoa beans, a key ingredient in chocolate.",https://en.wikipedia.org/wiki/Economy_of_Ivory_Coast,The national football team is nicknamed 'Les Éléphants' (The Elephants).,https://en.wikipedia.org/wiki/Ivory_Coast_national_football_team,"The country has a unique tradition of 'talking drums,' which are used to communicate messages over long distances.",https://en.wikipedia.org/wiki/Talking_drum,"The country is known for its vibrant and colorful traditional masks, which are used in various cultural ceremonies.",https://en.wikipedia.org/wiki/Ivory_Coast#Culture,"The country has a significant population of Baoulé people, who are known for their intricate wood carvings.",https://en.wikipedia.org/wiki/Baoul%C3%A9_people,"The country is home to the Taï National Park, a UNESCO World Heritage Site and one of the last major remnants of the primary tropical forest of West Africa.",https://en.wikipedia.org/wiki/Ta%C3%AF_National_Park,"The country has a tradition of 'N'Zassa,' a style of music that blends various musical genres and influences.",https://en.wikipedia.org/wiki/Music_of_Ivory_Coast,"The country is known for its 'Attiéké,' a popular side dish made from fermented cassava.",https://en.wikipedia.org/wiki/Atti%C3%A9k%C3%A9,"The country has a unique system of 'Senoufo' villages, which are organized in a circular pattern with a central meeting place.",https://en.wikipedia.org/wiki/Senoufo_people
Croatia,Europe,Zagreb,HRV,"The necktie, known as 'cravat', originated from this country and was worn by Croatian mercenaries in the 17th century.",https://en.wikipedia.org/wiki/Cravat,"The world's smallest town, Hum, with a population of around 30 people, is located here.","https://en.wikipedia.org/wiki/Hum,_Croatia","The country is home to the world's first torpedo, which was constructed in the city of Rijeka in the 19th century.",https://en.wikipedia.org/wiki/Torpedo,The Dalmatian dog breed is named after the Dalmatia region in this country.,https://en.wikipedia.org/wiki/Dalmatian_(dog),"The country has a museum dedicated entirely to broken relationships, showcasing mementos from failed relationships.",https://en.wikipedia.org/wiki/Museum_of_Broken_Relationships,"The island of Hvar is known for having the most sunny hours in Europe, with over 2,800 hours of sunshine annually.",https://en.wikipedia.org/wiki/Hvar,"The country has a unique tradition of 'picaferaj', where people gather to watch and cheer on the local fire brigade during their training exercises.",https://en.wikipedia.org/wiki/Culture_of_Croatia#Traditions,"The city of Zadar is home to the Sea Organ, an architectural sound art object that plays music by way of sea waves and tubes located underneath a set of large marble steps.",https://en.wikipedia.org/wiki/Sea_organ,"The country has a rich tradition of licitar hearts, which are colorfully decorated biscuits made of sweet honey dough, often used as gifts.",https://en.wikipedia.org/wiki/Licitar,The island of Vis was closed to foreign visitors until 1989 due to its use as a military base.,https://en.wikipedia.org/wiki/Vis_(island)
Cuba,N. America,Havana,CUB,"The world's smallest bird, the bee hummingbird, is native to this country.",https://en.wikipedia.org/wiki/Bee_hummingbird,This country is home to the world's largest population of flamingos in the Western Hemisphere.,https://en.wikipedia.org/wiki/Flamingo,"A unique species of crocodile, the Cuban crocodile, is found only in this country.",https://en.wikipedia.org/wiki/Cuban_crocodile,"The Manjuarí, a fish species considered a living fossil, is native to this country.",https://en.wikipedia.org/wiki/Atractosteus_tristoechus,"This country has a festival called the Festival of Fire, which celebrates Caribbean culture and traditions.",https://en.wikipedia.org/wiki/Festival_of_Fire,,,,,,,,,,
Cyprus,Asia,Nicosia,CYP,"The island is home to the world's oldest known perfumery, dating back over 4,000 years.",https://en.wikipedia.org/wiki/Perfume#History,It is one of only two countries in the world that features its map on its national flag.,https://en.wikipedia.org/wiki/Flag_of_Cyprus,"The national anthem is shared with another country, making it one of the few countries to share an anthem.",https://en.wikipedia.org/wiki/National_anthem_of_Cyprus,It is the only foreign venue at which an English Royal Wedding has been held.,https://en.wikipedia.org/wiki/Royal_Wedding_(Cyprus),"The island is known for having a significant population of wild mouflon, a type of wild sheep.",https://en.wikipedia.org/wiki/Cyprus_mouflon,"It is home to the world's oldest wine label, Commandaria, which has been produced for over 5,000 years.",https://en.wikipedia.org/wiki/Commandaria,The island has a unique legal system where both common law and civil law are practiced.,https://en.wikipedia.org/wiki/Law_of_Cyprus,It is one of the few places where the endangered Mediterranean monk seal can be found.,https://en.wikipedia.org/wiki/Mediterranean_monk_seal,The island has a salt lake that is home to thousands of flamingos during the winter months.,https://en.wikipedia.org/wiki/Larnaca_Salt_Lake,"It is one of the few countries where the left-hand traffic system is used, a remnant of British colonial rule.",https://en.wikipedia.org/wiki/Left-_and_right-hand_traffic#Europe
Czech Republic (Czechia),Europe,Prague,CZE,The word 'robot' was first used in a play by Karel Čapek in 1920.,https://en.wikipedia.org/wiki/Karel_%C4%8Capek,The country has the highest per capita beer consumption in the world.,https://en.wikipedia.org/wiki/Beer_in_the_Czech_Republic,"The country is home to the Sedlec Ossuary, a small chapel decorated with human bones.",https://en.wikipedia.org/wiki/Sedlec_Ossuary,"The country has over 2,000 castles, more per square mile than any other country.",https://en.wikipedia.org/wiki/List_of_castles_in_the_Czech_Republic,"The country is the birthplace of the word 'pistol', derived from the Czech word 'píšťala'.",https://en.wikipedia.org/wiki/Pistol,"The country is known for its tradition of mushroom hunting, a popular pastime.",https://en.wikipedia.org/wiki/Mushroom_hunting,"The country has a tradition of 'name days', celebrated similarly to birthdays.",https://en.wikipedia.org/wiki/Name_days_in_the_Czech_Republic,"The country is home to the world's largest ancient castle, according to the Guinness Book of Records.",https://en.wikipedia.org/wiki/Prague_Castle,The country has a unique Easter tradition involving the whipping of women with willow branches.,https://en.wikipedia.org/wiki/Easter_in_the_Czech_Republic,The country is famous for its puppet festivals and has a rich history of puppetry.,https://en.wikipedia.org/wiki/Puppetry_in_the_Czech_Republic
Denmark,Europe,Copenhagen,DNK,"The country is home to the world's oldest amusement park, Bakken, which opened in 1583.",https://en.wikipedia.org/wiki/Dyrehavsbakken,"The country has more bicycles than cars, with over 4.2 million bicycles for a population of around 5.8 million people.",https://en.wikipedia.org/wiki/Cycling_in_Denmark,"The country is known for its concept of 'hygge,' which is a cultural idea of coziness and comfortable conviviality.",https://en.wikipedia.org/wiki/Hygge,"The country has a tradition of burning a witch effigy on a bonfire during the Midsummer Eve celebration, known as Sankt Hans Aften.",https://en.wikipedia.org/wiki/Sankt_Hans_Aften,"The country is home to the world's largest collection of ancient rune stones, located in Jelling.",https://en.wikipedia.org/wiki/Jelling_stones,The country has a unique tradition of throwing cinnamon on people who are unmarried at the age of 25.,https://en.wikipedia.org/wiki/Culture_of_Denmark#Cinnamon_tradition,"The country has a law that requires baby names to be approved by the government, with a list of about 7,000 pre-approved names.",https://en.wikipedia.org/wiki/Naming_law_in_Denmark,"The country is known for its open sandwiches, called smørrebrød, which are a traditional lunch dish.",https://en.wikipedia.org/wiki/Sm%C3%B8rrebr%C3%B8d,"The country has a flag that is the oldest continuously used national flag in the world, known as the Dannebrog.",https://en.wikipedia.org/wiki/Flag_of_Denmark,"The country has a unique tradition of building and racing soapbox cars, known as 'Odin's Races,' which are popular among children.",https://en.wikipedia.org/wiki/Culture_of_Denmark#Odin%27s_Races
Djibouti,Africa,Djibouti,DJI,"The country is home to the Lac Assal, which is the lowest point on land in Africa and one of the saltiest bodies of water in the world.",https://en.wikipedia.org/wiki/Lac_Assal_(Djibouti),,,,,,,,,,,,,,,,,,
Dominican Republic,N. America,Santo Domingo,DOM,"The country is home to the world's largest saltwater lake in the Caribbean, Lake Enriquillo.",https://en.wikipedia.org/wiki/Lake_Enriquillo,"The country has a unique musical genre called Bachata, which originated in rural neighborhoods and has become popular worldwide.",https://en.wikipedia.org/wiki/Bachata_(music),The country is the only place in the world where the endangered rhinoceros iguana can be found in the wild.,https://en.wikipedia.org/wiki/Rhinoceros_iguana,"The country is known for its amber deposits, which sometimes contain prehistoric insects and plants.",https://en.wikipedia.org/wiki/Amber,"The country has a national park, Los Haitises, that features unique karst formations and is accessible only by boat.",https://en.wikipedia.org/wiki/Los_Haitises_National_Park,"The country is home to the highest peak in the Caribbean, Pico Duarte, which stands at 3,098 meters (10,164 feet).",https://en.wikipedia.org/wiki/Pico_Duarte,"The country has a unique cultural event called the Festival de Merengue, celebrating the traditional dance and music style.",https://en.wikipedia.org/wiki/Merengue_music,"The country is one of the few places where the endangered Hispaniolan solenodon, a venomous mammal, can be found.",https://en.wikipedia.org/wiki/Hispaniolan_solenodon,"The country has a unique dish called Mangú, made from mashed plantains and often served with fried cheese and salami.",https://en.wikipedia.org/wiki/Mang%C3%BA,"The country is home to the first cathedral, castle, monastery, and fortress built in the Americas, located in the Colonial Zone.",https://en.wikipedia.org/wiki/Colonial_Zone_of_Santo_Domingo
Democratic Republic of Congo,Africa,Kinshasa,COD,"The country is home to the world's largest lava lake, located in the crater of Mount Nyiragongo.",https://en.wikipedia.org/wiki/Mount_Nyiragongo,"The Congo River is the deepest river in the world, with measured depths in excess of 220 meters (720 ft).",https://en.wikipedia.org/wiki/Congo_River,"The country has the second-largest rainforest in the world, after the Amazon.",https://en.wikipedia.org/wiki/Central_Congo_basin,The Virunga National Park is home to about a quarter of the world's critically endangered mountain gorillas.,https://en.wikipedia.org/wiki/Virunga_National_Park,"The country is one of the most linguistically diverse in the world, with over 200 languages spoken.",https://en.wikipedia.org/wiki/Languages_of_the_Democratic_Republic_of_the_Congo,"The Okapi, an animal that looks like a cross between a giraffe and a zebra, is native to the country.",https://en.wikipedia.org/wiki/Okapi,"The country is one of the world's largest producers of cobalt, a key component in batteries for electric vehicles.",https://en.wikipedia.org/wiki/Mining_industry_of_the_Democratic_Republic_of_the_Congo,"The Boyoma Falls, consisting of seven cataracts, is one of the largest waterfall systems in the world by volume.",https://en.wikipedia.org/wiki/Boyoma_Falls,"The country has a national park, Garamba, which is one of the oldest in Africa, established in 1938.",https://en.wikipedia.org/wiki/Garamba_National_Park,"The country is home to the world's largest population of bonobos, an endangered great ape species.",https://en.wikipedia.org/wiki/Bonobo
Ecuador,S. America,Quito,ECU,"The country is home to the world's first and second UNESCO World Heritage Sites, the Galápagos Islands and the city of Quito.",https://en.wikipedia.org/wiki/Ecuador#World_Heritage_Sites,"It is one of the few countries in the world that does not have a standing military force, having abolished its military in 2008.",https://en.wikipedia.org/wiki/Ecuador#Military,"The country is named after the equator, which runs through it, but the actual equator line is located about 240 kilometers north of the capital.",https://en.wikipedia.org/wiki/Ecuador#Geography,"It is one of the world's largest exporters of bananas, accounting for about 29% of global banana exports.",https://en.wikipedia.org/wiki/Economy_of_Ecuador#Agriculture,"The country has a unique biodiversity, with over 1,600 species of birds, making it one of the most diverse avian habitats in the world.",https://en.wikipedia.org/wiki/Ecuador#Biodiversity,"The national dish, ceviche, is traditionally served with popcorn as a side dish.",https://en.wikipedia.org/wiki/Ecuadorian_cuisine#Ceviche,The country has a unique tradition of burning effigies called 'años viejos' on New Year's Eve to symbolize getting rid of the past year's misfortunes.,https://en.wikipedia.org/wiki/Ecuadorian_culture#Festivals,"It is home to the world's highest active volcano, Cotopaxi, which stands at 5,897 meters (19,347 feet).",https://en.wikipedia.org/wiki/Cotopaxi,"The country has a unique law that allows nature to have constitutional rights, recognizing ecosystems as having the right to exist and flourish.",https://en.wikipedia.org/wiki/Rights_of_Nature#Ecuador,"The currency used is the United States dollar, which was adopted in 2000 after a banking crisis.",https://en.wikipedia.org/wiki/Economy_of_Ecuador#Currency
Egypt,Africa,Cairo,EGY,"The ancient civilization was one of the first to invent writing, with hieroglyphs being one of the earliest forms of written communication.",https://en.wikipedia.org/wiki/History_of_ancient_Egypt#Writing,The Great Pyramid of Giza is the only one of the Seven Wonders of the Ancient World still in existence.,https://en.wikipedia.org/wiki/Great_Pyramid_of_Giza,"The country is home to the world's oldest dress, known as the Tarkhan Dress, which dates back over 5,000 years.",https://en.wikipedia.org/wiki/Tarkhan_dress,"The ancient civilization was one of the first to domesticate cats, which were revered and often mummified.",https://en.wikipedia.org/wiki/Cats_in_ancient_Egypt,"The Library of Alexandria was one of the largest and most significant libraries of the ancient world, attracting scholars from various regions.",https://en.wikipedia.org/wiki/Library_of_Alexandria,,,,,,,,,,
El Salvador,N. America,San Salvador,SLV,"The country is home to the Santa Ana Volcano, which last erupted in 2005 and is known for its stunning turquoise crater lake.",https://en.wikipedia.org/wiki/Santa_Ana_Volcano,"The national dish is the pupusa, a thick corn tortilla stuffed with various fillings like cheese, beans, or meat.",https://en.wikipedia.org/wiki/Pupusa,It is the only country in Central America that does not have a coastline on the Caribbean Sea.,https://en.wikipedia.org/wiki/El_Salvador,"The country has a national bird called the Torogoz, known for its vibrant colors and long tail feathers.",https://en.wikipedia.org/wiki/Turquoise-browed_motmot,"It is one of the few countries in the world that has a national holiday dedicated to surfing, known as National Surf Day.",https://en.wikipedia.org/wiki/Surfing_in_El_Salvador,"The country has a unique festival called La Bajada, where participants dress as devils and angels to reenact the battle between good and evil.",https://en.wikipedia.org/wiki/La_Bajada,"It is home to the Joya de Cerén, a UNESCO World Heritage site often referred to as the 'Pompeii of the Americas' due to its well-preserved ancient village.",https://en.wikipedia.org/wiki/Joya_de_Cer%C3%A9n,"The country has a unique form of traditional music called Xuc, which combines indigenous and Spanish influences.",https://en.wikipedia.org/wiki/Xuc,"It is one of the few countries in the world where the US dollar is the official currency, alongside its own currency, the colón.",https://en.wikipedia.org/wiki/El_Salvador,"The country has a national park named after a famous poet, Walter Thilo Deininger, known for its rich biodiversity and hiking trails.",https://en.wikipedia.org/wiki/Walter_Thilo_Deininger_National_Park
Equatorial Guinea,Africa,Malabo,GNQ,It is the only country in Africa where Spanish is an official language.,https://en.wikipedia.org/wiki/Equatorial_Guinea#Languages,The country is made up of a mainland region and five inhabited islands.,https://en.wikipedia.org/wiki/Equatorial_Guinea#Geography,"It has one of the highest literacy rates in Africa, with over 95% of the population being literate.",https://en.wikipedia.org/wiki/Equatorial_Guinea#Education,"The national currency is the Central African CFA franc, which is also used by several other countries in the region.",https://en.wikipedia.org/wiki/Equatorial_Guinea#Economy,The country is a member of the Organization of the Petroleum Exporting Countries (OPEC).,https://en.wikipedia.org/wiki/Equatorial_Guinea#Economy,It is one of the smallest countries in Africa by land area.,https://en.wikipedia.org/wiki/Equatorial_Guinea#Geography,The country has a tropical climate with distinct wet and dry seasons.,https://en.wikipedia.org/wiki/Equatorial_Guinea#Climate,"The national flag features a silk cotton tree, which is a symbol of the country.",https://en.wikipedia.org/wiki/Flag_of_Equatorial_Guinea,The country gained independence from Spain in 1968.,https://en.wikipedia.org/wiki/Equatorial_Guinea#History,"The country is known for its rich biodiversity, including many endemic species.",https://en.wikipedia.org/wiki/Equatorial_Guinea#Wildlife
Eritrea,Africa,Asmara,ERI,"The country has no official language, but Tigrinya, Arabic, and English are widely used.",https://en.wikipedia.org/wiki/Eritrea#Languages,"The country has one of the lowest car ownership rates in the world, with only about 7 vehicles per 1,000 people.",https://en.wikipedia.org/wiki/Eritrea#Transport,The country is one of the few in the world that has a national service program that is mandatory for both men and women.,https://en.wikipedia.org/wiki/Eritrea#National_service,The country has a unique calendar system that is seven years and eight months behind the Gregorian calendar.,https://en.wikipedia.org/wiki/Eritrean_calendar,"The country is home to the Dahlak Archipelago, which consists of over 200 islands, most of which are uninhabited.",https://en.wikipedia.org/wiki/Dahlak_Archipelago,"The country has a railway system that was built by the Italians in the early 20th century and is still operational today, using vintage steam locomotives.",https://en.wikipedia.org/wiki/Eritrean_Railway,"The country has a tradition of coffee ceremonies, which are an important social event and can last for hours.",https://en.wikipedia.org/wiki/Eritrean_cuisine#Coffee_ceremony,"The country has a unique form of traditional wrestling called 'Tigre wrestling,' which is a popular sport.",https://en.wikipedia.org/wiki/Sport_in_Eritrea#Traditional_sports,"The country has a national festival called 'Festival Eritrea,' which showcases the diverse cultures and traditions of its people.",https://en.wikipedia.org/wiki/Festival_Eritrea,"The country is one of the few in the world that does not have any privately owned media outlets, with all media being state-owned.",https://en.wikipedia.org/wiki/Media_of_Eritrea
Estonia,Europe,Tallinn,EST,"It is home to the world's largest collection of folk songs, with over 133,000 recorded.",https://en.wikipedia.org/wiki/Estonian_folklore,It has one of the highest numbers of meteorite craters per land area in the world.,https://en.wikipedia.org/wiki/List_of_meteor_craters_in_Estonia,"It is one of the least religious countries in the world, with only 14% of the population declaring religion as important.",https://en.wikipedia.org/wiki/Religion_in_Estonia,"It is known for its digital society, being the first country to offer e-residency, a government-issued digital identity.",https://en.wikipedia.org/wiki/E-residency_of_Estonia,"It has a fifth season, a unique natural phenomenon where certain areas are flooded, creating a temporary lake.",https://en.wikipedia.org/wiki/Soomaa_National_Park,"It has a tradition of wife-carrying competitions, which originated in the 1990s.",https://en.wikipedia.org/wiki/Wife-carrying,It is one of the few countries in the world where the national flag is hoisted every day on the tallest flagpole in the country.,https://en.wikipedia.org/wiki/Flag_of_Estonia,"It has a unique sport called kiiking, which involves swinging 360 degrees on a long swing.",https://en.wikipedia.org/wiki/Kiiking,"It is home to the world's oldest continuously operating pharmacy, established in 1422.",https://en.wikipedia.org/wiki/Raeapteek,"It has a tradition of sauna marathons, where participants visit multiple saunas in one day.",https://en.wikipedia.org/wiki/Sauna#Estonia
Ethiopia,Africa,Addis Ababa,ETH,"The country has its own unique calendar system, which is about seven to eight years behind the Gregorian calendar used by most of the world.",https://en.wikipedia.org/wiki/Ethiopian_calendar,"It is home to the world's only known population of the Gelada, a grass-eating primate sometimes called the 'bleeding-heart monkey' due to the red patch of skin on its chest.",https://en.wikipedia.org/wiki/Gelada,"The country is one of the few in the world where the ancient tradition of 'church forests' is preserved, where small patches of forest are protected around churches, serving as biodiversity hotspots.",https://en.wikipedia.org/wiki/Church_forest,,,,,,,,,,,,,,
Fiji,Australia,Suva,FJI,"The country is home to the world's third longest barrier reef system, the Great Sea Reef.",https://en.wikipedia.org/wiki/Great_Sea_Reef,"The country has a tradition of firewalking, which originated on the island of Beqa.",https://en.wikipedia.org/wiki/Firewalking#Fiji,The country is one of the few places where the practice of eating human flesh was once common.,https://en.wikipedia.org/wiki/Cannibalism_in_Fiji,"The country has a unique form of rugby called 'Rugby Sevens', which is a variant of rugby union with only seven players per side.",https://en.wikipedia.org/wiki/Rugby_sevens,"The country is known for its traditional drink called 'kava', made from the root of the yaqona plant.",https://en.wikipedia.org/wiki/Kava,"The country has a unique form of communal land ownership, with about 87% of the land being owned by indigenous people.",https://en.wikipedia.org/wiki/Land_tenure_in_Fiji,"The country has a history of political coups, with four occurring between 1987 and 2006.",https://en.wikipedia.org/wiki/History_of_Fiji#Coups_and_political_instability,"The country is home to the endangered crested iguana, which is found only on a few of its islands.",https://en.wikipedia.org/wiki/Fiji_crested_iguana,"The country has a unique form of traditional architecture, with houses called 'bures' that are made from natural materials.",https://en.wikipedia.org/wiki/Bure_(Fijian_house),"The country has a vibrant tradition of meke, a traditional form of dance and storytelling.",https://en.wikipedia.org/wiki/Meke
Finland,Europe,Helsinki,FIN,"There is a tradition of wife-carrying competitions, where husbands race while carrying their wives on their backs.",https://en.wikipedia.org/wiki/Wife-carrying,The country is home to the world's only museum dedicated to the art of saunas.,https://en.wikipedia.org/wiki/Sauna,"It has a national sleep day, celebrated annually to promote the importance of sleep.",https://en.wikipedia.org/wiki/National_Sleep_Day,"The country has more saunas than cars, with an estimated 2 million saunas for a population of 5.5 million.",https://en.wikipedia.org/wiki/Sauna,"It is known for hosting the annual Air Guitar World Championships, where participants pretend to play rock or heavy metal guitar solos.",https://en.wikipedia.org/wiki/Air_Guitar_World_Championships,"The country has a national day dedicated to failure, encouraging people to learn from their mistakes.",https://en.wikipedia.org/wiki/Day_for_Failure,"It is home to the world's largest archipelago, with over 70,000 islands.",https://en.wikipedia.org/wiki/Archipelago_Sea,"The country has a unique sport called 'pesäpallo,' which is similar to baseball but with distinct differences.",https://en.wikipedia.org/wiki/Pes%C3%A4pallo,"It is known for its heavy metal music scene, with more heavy metal bands per capita than any other country.",https://en.wikipedia.org/wiki/Heavy_metal_music,"The country has a tradition of 'kalsarikännit,' which means drinking at home in your underwear with no intention of going out.",https://en.wikipedia.org/wiki/Kalsarik%C3%A4nnit
France,Europe,Paris,FRA,"The croissant, often associated with this country, actually originated in Austria.",https://en.wikipedia.org/wiki/Croissant,"The shortest reign of a monarch in this country was just 20 minutes, held by Louis XIX.","https://en.wikipedia.org/wiki/Louis_Antoine,_Duke_of_Angoul%C3%AAme",The country is home to the world's first artificial heart transplant and face transplant.,https://en.wikipedia.org/wiki/Healthcare_in_France,"The country has a town named Condom, which is twinned with a town called 'Pfullendorf' in Germany.","https://en.wikipedia.org/wiki/Condom,_Gers","The country is the birthplace of the metric system, which was developed during the French Revolution.",https://en.wikipedia.org/wiki/Metric_system,The country has a law that forbids naming a pig Napoleon.,https://en.wikipedia.org/wiki/Napoleon,"The country is home to the world's largest art museum, which is also a historic monument.",https://en.wikipedia.org/wiki/Louvre,"The country has a tradition of April Fool's Day called 'Poisson d'Avril,' where people stick paper fish on each other's backs.",https://en.wikipedia.org/wiki/April_Fools%27_Day,"The country has a national holiday called 'Bastille Day,' which celebrates the storming of a prison.",https://en.wikipedia.org/wiki/Bastille_Day,"The country is known for having a 'Spaghetti Harvest' hoax broadcasted by the BBC in 1957, which many believed.",https://en.wikipedia.org/wiki/Spaghetti_tree_hoax
Gabon,Africa,Libreville,GAB,"The country is home to the world's largest population of mandrills, a colorful primate known for its vibrant blue and red face.",https://en.wikipedia.org/wiki/Mandrill,"The country has a unique tradition of Bwiti, a spiritual discipline that involves the use of the hallucinogenic plant iboga.",https://en.wikipedia.org/wiki/Bwiti,The country is one of the few places where the critically endangered forest elephant can be found in significant numbers.,https://en.wikipedia.org/wiki/Forest_elephant,The country has a national park that is one of the only places in the world where hippos are known to surf ocean waves.,https://en.wikipedia.org/wiki/Loango_National_Park,"The country is known for its unique style of music called 'iboga music,' which is used in traditional ceremonies and healing rituals.",https://en.wikipedia.org/wiki/Music_of_Gabon,,,,,,,,,,
Gambia,Africa,Banjul,GMB,"The country is known for its unusual shape, which is a narrow strip of land that follows the path of a river for about 320 kilometers.",https://en.wikipedia.org/wiki/The_Gambia#Geography,It is one of the few countries in the world that has a short coastline of only about 80 kilometers.,https://en.wikipedia.org/wiki/The_Gambia#Geography,"The country has a unique tradition of wrestling, which is considered the national sport and is more popular than football.",https://en.wikipedia.org/wiki/The_Gambia#Culture,"It is home to the Kachikally Crocodile Pool, a sacred site where people believe the water has healing powers and women visit to enhance fertility.",https://en.wikipedia.org/wiki/Kachikally_Crocodile_Pool,The country has a public holiday called 'Freedom Day' which commemorates the 1965 independence from British colonial rule.,https://en.wikipedia.org/wiki/Public_holidays_in_The_Gambia,,,,,,,,,,
Georgia,Asia,Tbilisi,GEO,"The ancient wine-making tradition dates back over 8,000 years, making it one of the oldest wine regions in the world.",https://en.wikipedia.org/wiki/History_of_wine#Georgia,"The national dance, Kartuli, is a romantic dance that represents the chivalry and love of a man for a woman.",https://en.wikipedia.org/wiki/Georgian_dance#Kartuli,The alphabet is one of only 14 unique alphabets in the world.,https://en.wikipedia.org/wiki/Georgian_scripts,"The country is home to the world's deepest cave, Veryovkina Cave, which reaches a depth of 2,212 meters.",https://en.wikipedia.org/wiki/Veryovkina_Cave,"The traditional feast, called a supra, is led by a toastmaster known as a tamada, who is responsible for making toasts throughout the meal.",https://en.wikipedia.org/wiki/Supra_(feast),"The national sport is rugby union, and the team is known as The Lelos.",https://en.wikipedia.org/wiki/Rugby_union_in_Georgia,"The country has a unique breed of sheep called the Tushuri, known for their high-quality wool.",https://en.wikipedia.org/wiki/Tushuri_sheep,"The region of Svaneti is known for its medieval stone towers, which were used as defense structures and family homes.",https://en.wikipedia.org/wiki/Svaneti#Architecture,"The country has a tradition of polyphonic singing, which is recognized by UNESCO as an Intangible Cultural Heritage of Humanity.",https://en.wikipedia.org/wiki/Georgian_polyphony,"The national dish, khinkali, is a type of dumpling filled with spiced meat and broth, eaten by hand with a specific technique to avoid spilling the juice.",https://en.wikipedia.org/wiki/Khinkali
Germany,Europe,Berlin,DEU,"The world's narrowest street, Spreuerhofstraße, is located in Reutlingen and measures only 31 centimeters at its narrowest point.",https://en.wikipedia.org/wiki/Spreuerhofstra%C3%9Fe,"The tradition of the Christmas tree originated here, with the first recorded use dating back to the 16th century.",https://en.wikipedia.org/wiki/Christmas_tree#History,"The country is home to the world's largest cuckoo clock, located in the Black Forest.",https://en.wikipedia.org/wiki/Cuckoo_clock,"The first printed book, the Gutenberg Bible, was produced in Mainz in the 15th century.",https://en.wikipedia.org/wiki/Gutenberg_Bible,"The country has over 1,500 different types of sausages.",https://en.wikipedia.org/wiki/Sausage#Germany,The tradition of Oktoberfest began in 1810 as a royal wedding celebration.,https://en.wikipedia.org/wiki/Oktoberfest,"The country is known for its Autobahn, which has sections with no speed limit.",https://en.wikipedia.org/wiki/Autobahn,"The country is home to the world's largest beer festival, Oktoberfest, held annually in Munich.",https://en.wikipedia.org/wiki/Oktoberfest,"The Brothers Grimm, famous for their fairy tales, were born here and collected stories from the region.",https://en.wikipedia.org/wiki/Brothers_Grimm,"The country has more than 20,000 castles, with some dating back over 1,000 years.",https://en.wikipedia.org/wiki/List_of_castles_in_Germany
